Year,Month,Day,yeardd,TMAX_F,TMIN_F
1869,05,09,1869.350685,65,53
1869,05,10,1869.353425,66,52
1869,05,11,1869.356164,75,57
1869,05,12,1869.358904,80,63
1869,05,13,1869.361644,63,60
1869,05,14,1869.364384,71,58
1869,05,15,1869.367123,69,58
1869,05,16,1869.369863,62,56
1869,05,17,1869.372603,61,53
1869,05,18,1869.375342,62,53
1869,05,19,1869.378082,55,49
1869,05,20,1869.380822,63,55
1869,05,21,1869.383562,61,51
1869,05,22,1869.386301,59,48
1869,05,23,1869.389041,65,50
1869,05,24,1869.391781,74,57
1869,05,25,1869.394521,80,63
1869,05,26,1869.39726,84,65
1869,05,27,1869.4,65,50
1869,05,28,1869.40274,58,52
1869,05,29,1869.405479,74,54
1869,05,30,1869.408219,67,60
1869,05,31,1869.410959,80,62
1869,06,01,1869.413699,79,70
1869,06,02,1869.416438,70,64
1869,06,03,1869.419178,83,66
1869,06,04,1869.421918,73,63
1869,06,05,1869.424658,82,66
1869,06,06,1869.427397,65,60
1869,06,07,1869.430137,65,55
1869,06,08,1869.432877,57,55
1869,06,09,1869.435616,64,56
1869,06,10,1869.438356,58,54
1869,06,11,1869.441096,68,57
1869,06,12,1869.443836,69,59
1869,06,13,1869.446575,74,65
1869,06,14,1869.449315,76,67
1869,06,15,1869.452055,69,66
1869,06,16,1869.454795,68,61
1869,06,17,1869.457534,74,62
1869,06,18,1869.460274,78,69
1869,06,19,1869.463014,82,72
1869,06,20,1869.465753,78,68
1869,06,21,1869.468493,82,70
1869,06,22,1869.471233,63,61
1869,06,23,1869.473973,72,65
1869,06,24,1869.476712,77,69
1869,06,25,1869.479452,79,69
1869,06,26,1869.482192,80,73
1869,06,27,1869.484932,81,72
1869,06,28,1869.487671,87,68
1869,06,29,1869.490411,82,71
1869,06,30,1869.493151,78,70
1869,07,01,1869.49589,70,62
1869,07,02,1869.49863,76,64
1869,07,03,1869.50137,84,70
1869,07,04,1869.50411,83,72
1869,07,05,1869.506849,73,65
1869,07,06,1869.509589,74,66
1869,07,07,1869.512329,75,63
1869,07,08,1869.515068,80,66
1869,07,09,1869.517808,72,66
1869,07,10,1869.520548,82,70
1869,07,11,1869.523288,88,73
1869,07,12,1869.526027,76,66
1869,07,13,1869.528767,80,70
1869,07,14,1869.531507,66,65
1869,07,15,1869.534247,82,71
1869,07,16,1869.536986,92,78
1869,07,17,1869.539726,84,77
1869,07,18,1869.542466,76,72
1869,07,19,1869.545205,72,69
1869,07,20,1869.547945,69,67
1869,07,21,1869.550685,80,67
1869,07,22,1869.553425,71,62
1869,07,23,1869.556164,75,66
1869,07,24,1869.558904,80,63
1869,07,25,1869.561644,81,72
1869,07,26,1869.564384,76,73
1869,07,27,1869.567123,84,75
1869,07,28,1869.569863,82,71
1869,07,29,1869.572603,78,71
1869,07,30,1869.575342,74,62
1869,07,31,1869.578082,76,64
1869,08,01,1869.580822,78,67
1869,08,02,1869.583562,76,65
1869,08,03,1869.586301,84,74
1869,08,04,1869.589041,78,69
1869,08,05,1869.591781,72,67
1869,08,06,1869.594521,67,56
1869,08,07,1869.59726,67,58
1869,08,08,1869.6,75,57
1869,08,09,1869.60274,77,64
1869,08,10,1869.605479,80,65
1869,08,11,1869.608219,83,67
1869,08,12,1869.610959,81,70
1869,08,13,1869.613699,77,70
1869,08,14,1869.616438,79,68
1869,08,15,1869.619178,81,71
1869,08,16,1869.621918,76,68
1869,08,17,1869.624658,68,62
1869,08,18,1869.627397,72,63
1869,08,19,1869.630137,82,67
1869,08,20,1869.632877,93,72
1869,08,21,1869.635616,95,74
1869,08,22,1869.638356,74,68
1869,08,23,1869.641096,74,66
1869,08,24,1869.643836,77,66
1869,08,25,1869.646575,78,67
1869,08,26,1869.649315,79,68
1869,08,27,1869.652055,75,64
1869,08,28,1869.654795,82,69
1869,08,29,1869.657534,78,71
1869,08,30,1869.660274,71,62
1869,08,31,1869.663014,67,58
1869,09,01,1869.665753,59,51
1869,09,02,1869.668493,62,55
1869,09,03,1869.671233,71,57
1869,09,04,1869.673973,78,65
1869,09,05,1869.676712,78,63
1869,09,06,1869.679452,76,65
1869,09,07,1869.682192,79,72
1869,09,08,1869.684932,76,71
1869,09,09,1869.687671,71,64
1869,09,10,1869.690411,68,57
1869,09,11,1869.693151,71,58
1869,09,12,1869.69589,73,59
1869,09,13,1869.69863,77,64
1869,09,14,1869.70137,73,64
1869,09,15,1869.70411,72,61
1869,09,16,1869.706849,76,63
1869,09,17,1869.709589,66,65
1869,09,18,1869.712329,66,62
1869,09,19,1869.715068,75,63
1869,09,20,1869.717808,86,67
1869,09,21,1869.720548,73,64
1869,09,22,1869.723288,64,61
1869,09,23,1869.726027,68,62
1869,09,24,1869.728767,71,61
1869,09,25,1869.731507,71,63
1869,09,26,1869.734247,71,58
1869,09,27,1869.736986,58,50
1869,09,28,1869.739726,56,46
1869,09,29,1869.742466,65,51
1869,09,30,1869.745205,70,55
1869,10,01,1869.747945,74,55
1869,10,02,1869.750685,70,55
1869,10,03,1869.753425,71,62
1869,10,04,1869.756164,70,54
1869,10,05,1869.758904,59,50
1869,10,06,1869.761644,61,46
1869,10,07,1869.764384,63,48
1869,10,08,1869.767123,70,53
1869,10,09,1869.769863,66,52
1869,10,10,1869.772603,69,58
1869,10,11,1869.775342,63,53
1869,10,12,1869.778082,64,53
1869,10,13,1869.780822,64,46
1869,10,14,1869.783562,58,42
1869,10,15,1869.786301,61,51
1869,10,16,1869.789041,53,44
1869,10,17,1869.791781,59,40
1869,10,18,1869.794521,53,45
1869,10,19,1869.79726,49,41
1869,10,20,1869.8,48,37
1869,10,21,1869.80274,52,38
1869,10,22,1869.805479,58,38
1869,10,23,1869.808219,62,47
1869,10,24,1869.810959,60,41
1869,10,25,1869.813699,45,36
1869,10,26,1869.816438,47,30
1869,10,27,1869.819178,39,30
1869,10,28,1869.821918,44,35
1869,10,29,1869.824658,46,38
1869,10,30,1869.827397,40,34
1869,10,31,1869.830137,41,32
1869,11,01,1869.832877,41,30
1869,11,02,1869.835616,50,38
1869,11,03,1869.838356,52,40
1869,11,04,1869.841096,61,42
1869,11,05,1869.843836,53,47
1869,11,06,1869.846575,48,42
1869,11,07,1869.849315,43,31
1869,11,08,1869.852055,39,31
1869,11,09,1869.854795,44,35
1869,11,10,1869.857534,41,31
1869,11,11,1869.860274,43,34
1869,11,12,1869.863014,43,36
1869,11,13,1869.865753,46,37
1869,11,14,1869.868493,40,35
1869,11,15,1869.871233,37,33
1869,11,16,1869.873973,42,32
1869,11,17,1869.876712,58,36
1869,11,18,1869.879452,42,37
1869,11,19,1869.882192,52,34
1869,11,20,1869.884932,56,43
1869,11,21,1869.887671,44,35
1869,11,22,1869.890411,43,32
1869,11,23,1869.893151,47,42
1869,11,24,1869.89589,45,29
1869,11,25,1869.89863,36,26
1869,11,26,1869.90137,40,28
1869,11,27,1869.90411,43,37
1869,11,28,1869.906849,40,34
1869,11,29,1869.909589,45,33
1869,11,30,1869.912329,57,45
1869,12,01,1869.915068,62,33
1869,12,02,1869.917808,33,24
1869,12,03,1869.920548,29,16
1869,12,04,1869.923288,37,15
1869,12,05,1869.926027,39,35
1869,12,06,1869.928767,34,21
1869,12,07,1869.931507,26,14
1869,12,08,1869.934247,34,22
1869,12,09,1869.936986,39,25
1869,12,10,1869.939726,44,17
1869,12,11,1869.942466,45,25
1869,12,12,1869.945205,42,32
1869,12,13,1869.947945,42,30
1869,12,14,1869.950685,32,26
1869,12,15,1869.953425,36,24
1869,12,16,1869.956164,49,37
1869,12,17,1869.958904,42,35
1869,12,18,1869.961644,44,33
1869,12,19,1869.964384,37,32
1869,12,20,1869.967123,33,28
1869,12,21,1869.969863,37,27
1869,12,22,1869.972603,56,31
1869,12,23,1869.975342,48,29
1869,12,24,1869.978082,36,27
1869,12,25,1869.980822,36,29
1869,12,26,1869.983562,47,34
1869,12,27,1869.986301,46,41
1869,12,28,1869.989041,49,40
1869,12,29,1869.991781,40,37
1869,12,30,1869.994521,46,35
1869,12,31,1869.99726,46,37
1870,01,01,1870,43,34
1870,01,02,1870.00274,54,38
1870,01,03,1870.005479,41,35
1870,01,04,1870.008219,35,29
1870,01,05,1870.010959,34,27
1870,01,06,1870.013699,44,31
1870,01,07,1870.016438,35,26
1870,01,08,1870.019178,34,18
