Decimal_Year,MSL (ft)
1930.75,1.378
1930.83,0.866
1930.92,0.997
1931.00,0.915
1931.08,0.885
1931.17,1.417
1931.25,0.866
1931.33,1.086
1931.42,1.368
1931.50,1.378
1931.58,1.325
1931.67,1.358
1931.75,1.305
1931.83,0.997
1931.92,0.948
1932.00,1.095
1932.08,1.138
1932.17,1.056
1932.25,1.027
1932.33,0.967
1932.42,1.246
1932.50,1.368
1932.58,1.296
1932.67,1.446
1932.75,1.207
1932.83,1.378
1932.92,1.086
1933.00,1.305
1933.08,0.948
1933.17,1.066
1933.25,1.197
1933.33,1.276
1933.42,1.407
1933.50,1.417
1933.58,1.446
1933.67,1.515
1933.75,1.325
1933.83,1.187
1933.92,1.056
1934.00,0.915
1934.08,0.646
1934.17,0.728
1934.25,1.086
1934.33,1.036
1934.42,1.446
1934.50,1.246
1934.58,1.217
1934.67,1.305
1934.75,1.305
1934.83,1.046
1934.92,0.967
1935.00,1.007
1935.08,0.817
1935.17,0.958
1935.25,1.296
1935.33,1.138
1935.42,1.338
1935.50,1.276
1935.58,1.325
1935.67,1.305
1935.75,1.237
1935.83,1.568
1935.92,1.177
1936.00,0.997
1936.08,0.967
1936.17,1.148
1936.25,1.066
1936.33,1.086
1936.42,1.276
1936.50,1.437
1936.58,1.286
1936.67,1.348
1936.75,1.358
1936.83,1.066
1936.92,0.948
1937.00,1.007
1937.08,1.358
1937.17,0.967
1937.25,1.237
1937.33,1.246
1937.42,1.338
1937.50,1.417
1937.58,1.296
1937.67,1.417
1937.75,1.368
1937.83,1.266
1937.92,1.177
1938.00,1.305
1938.08,1.197
1938.17,1.217
1938.25,1.086
1938.33,1.348
1938.42,1.296
1938.50,1.325
1938.58,1.446
1938.67,1.378
1938.75,1.578
1938.83,1.276
1938.92,1.177
1939.00,1.036
1939.08,1.056
1939.17,1.148
1939.25,1.315
1939.33,1.338
1939.42,1.427
1939.50,1.446
1939.58,1.486
1939.67,1.515
1939.75,1.397
1939.83,1.217
1939.92,1.207
1940.00,1.076
1940.08,1.437
1940.17,1.115
1940.25,1.217
1940.33,1.456
1940.42,1.446
1940.50,1.387
1940.58,1.348
1940.67,1.446
1940.75,1.496
1940.83,1.256
1940.92,1.246
1941.00,1.315
1941.08,1.125
1941.17,1.007
1941.25,1.227
1941.33,1.315
1941.42,1.427
1941.50,1.476
1941.58,1.476
1941.67,1.397
1941.75,1.358
1941.83,1.246
1941.92,1.177
1942.00,1.105
1942.08,1.177
1942.17,1.348
1942.25,1.348
1942.33,1.315
1942.42,1.548
1942.50,1.558
1942.58,1.466
1942.67,1.617
1942.75,1.486
1942.83,1.427
1942.92,1.148
1943.00,1.046
1943.08,1.138
1943.17,1.007
1943.25,1.125
1943.33,1.207
1943.42,1.446
1943.50,1.427
1943.58,1.588
1943.67,1.506
1943.75,1.656
1943.83,1.437
1943.92,0.987
1944.00,1.056
1944.08,1.046
1944.17,1.148
1944.25,1.246
1944.33,1.177
1944.42,1.515
1944.50,1.476
1944.58,1.506
1944.67,1.535
1944.75,1.515
1944.83,1.788
1944.92,1.105
1945.00,1.056
1945.08,1.086
1945.17,1.246
1945.25,1.246
1945.33,1.496
1945.42,1.476
1945.50,1.496
1945.58,1.476
1945.67,1.525
1945.75,1.558
1945.83,1.627
1945.92,1.647
1946.00,1.217
1946.08,1.115
1946.17,1.305
1946.25,1.466
1946.33,1.407
1946.42,1.437
1946.50,1.427
1946.58,1.647
1946.67,1.506
1946.75,1.607
1946.83,1.446
1946.92,1.105
1947.00,1.125
1947.08,1.125
1947.17,1.348
1947.25,1.266
1947.33,1.417
1947.42,1.578
1947.50,1.525
1947.58,1.515
1947.67,1.466
1947.75,1.407
1947.83,1.798
1947.92,1.105
1948.00,1.125
1948.08,1.187
1948.17,1.315
1948.25,1.197
1948.33,1.466
1948.42,1.607
1948.50,1.637
1948.58,1.597
1948.67,1.535
1948.75,1.686
1948.83,1.515
1948.92,1.597
1949.00,1.286
1949.08,1.305
1949.17,1.095
1949.25,1.378
1949.33,1.378
1949.42,1.348
1949.50,1.486
1949.58,1.568
1949.67,1.486
1949.75,1.535
1949.83,1.506
1949.92,0.915
1950.00,1.056
1950.08,1.158
1950.17,0.846
1950.25,1.168
1950.33,1.066
1950.42,1.207
1950.50,1.305
1950.58,1.427
1950.67,1.568
1950.75,1.525
1950.83,1.627
1950.92,1.456
1951.00,1.217
1951.08,1.168
1951.17,1.578
1951.25,1.397
1951.33,1.525
1951.42,1.656
1951.50,1.506
1951.58,1.656
1951.67,1.535
1951.75,1.588
1951.83,1.476
1951.92,1.217
1952.00,1.296
1952.08,1.305
1952.17,1.378
1952.25,1.315
1952.33,1.627
1952.42,1.525
1952.50,1.427
1952.58,1.515
1952.67,1.568
1952.75,1.407
1952.83,1.506
1952.92,1.568
1953.00,1.597
1953.08,1.177
1953.17,1.397
1953.25,1.476
1953.33,1.637
1953.42,1.506
1953.50,1.496
1953.58,1.568
1953.67,1.607
1953.75,1.588
1953.83,1.588
1953.92,1.296
1954.00,1.358
1954.08,1.325
1954.17,1.256
1954.25,1.227
1954.33,1.637
1954.42,1.627
1954.50,1.627
1954.58,1.588
1955.50,1.578
1955.58,1.656
1955.67,1.515
1955.75,1.798
1955.83,1.578
1955.92,1.125
1956.00,1.525
1956.08,1.168
1956.17,1.368
1956.25,1.506
1956.33,1.315
1956.42,1.535
1956.50,1.607
1956.58,1.725
1956.67,1.666
1956.75,1.578
1956.83,1.515
1956.92,1.348
1957.00,1.076
1957.08,1.256
1957.17,1.506
1957.25,1.115
1957.33,1.456
1957.42,1.496
1957.50,1.597
1957.58,1.506
1957.67,1.506
1957.75,1.617
1957.83,1.476
1957.92,1.296
1958.00,1.588
1958.08,1.437
1958.17,1.837
1958.25,1.617
1958.33,1.407
1958.42,1.558
1958.50,1.637
1958.58,1.656
1958.67,1.706
1958.75,1.817
1958.83,1.588
1958.92,1.266
