,TrainSet,Experiment,Overall,Kappa,UBarren,UForest,UGrass,UImperv,UDev,UWater,PBarren,PForest,PGrass,PImperv,PDev,PWater,Error,Allocation,Quantity,Exchange,Shift,size
Barren,Samp1000,s1.dbf,96.60934671,0.8827,45.1,99.3,85.8,56.1,60.6,97.8,35.9,97.9,93.7,79.7,61.3,96.5,3.390653286,2.056272873,1.334380412,1.763573682,0.292699192,1000
Barren1,Samp1000,s10.dbf,96.45186632,0.877,45.9,99.3,84.9,56.9,57.8,97.8,37.8,97.8,93.3,75.4,61.9,95.8,3.548133679,2.142554275,1.405579404,1.833830164,0.308724111,1000
Barren2,Samp1000,s2.dbf,96.55007771,0.8811,44.3,99.2,85.8,56.7,64.8,97.9,38.9,97.9,93.4,80.7,58.1,95.5,3.449922292,2.160970232,1.28895206,1.810281588,0.350688644,1000
Barren3,Samp1000,s3.dbf,96.59644767,0.882,45.1,99.4,84.8,58.4,61.3,98.1,34.1,97.9,94.6,78.2,58.9,95.6,3.40355233,1.866698091,1.536854239,1.64743278,0.219265311,1000
Barren4,Samp1000,s4.dbf,96.55562004,0.881,43.7,99.3,85.8,57.4,60.2,97.6,37.7,97.9,93.1,75,62.1,96.4,3.444379955,2.218455467,1.225924488,1.872010256,0.346445211,1000
Barren5,Samp1000,s5.dbf,96.48625185,0.8783,46.8,99.3,84.8,56.9,62.8,98,36.8,97.8,93.9,77.6,59.1,96.8,3.513748151,2.051198304,1.462549847,1.801491878,0.249706426,1000
Barren6,Samp1000,s6.dbf,96.49728162,0.8793,42.2,99.3,84.8,51.3,69.4,97.9,34.7,98,94.2,81,51.3,94.8,3.502718377,1.938051205,1.564667172,1.696539148,0.241512057,1000
Barren7,Samp1000,s7.dbf,96.49728162,0.8793,42.2,99.3,84.8,51.3,69.4,97.9,34.7,98,94.2,81,51.3,94.8,3.502718377,1.938051205,1.564667172,1.696539148,0.241512057,1000
Barren8,Samp1000,s8.dbf,96.81186464,0.8901,45.2,99.4,87.6,57.6,54.1,97.5,39.8,98.1,93.1,78.7,61.6,97.2,3.188135359,2.100771315,1.087364044,1.70525506,0.395516255,1000
Barren9,Samp1000,s9.dbf,96.60816706,0.8834,43,99.2,86.6,58.1,59,98,36.5,98.1,92.5,80.2,60,96.2,3.391832942,2.346982197,1.044850745,2.055690583,0.291291614,1000
Barren10,Samp750,s1.dbf,96.45394776,0.8778,40.3,99.2,85.9,57.5,57.4,97.6,30.2,97.9,92.9,78.4,61.3,95.8,3.546052237,2.306075148,1.23997709,1.946907964,0.359167184,750
Barren11,Samp750,s10.dbf,96.02534623,0.8628,52.7,99.1,82.3,55.4,65.9,98,32.7,97.7,93,72.8,57.1,94.4,3.974653766,2.311789157,1.662864609,1.984100322,0.327688835,750
Barren12,Samp750,s2.dbf,96.64093036,0.8835,40.5,99.4,85.6,53.5,64.9,97.5,36.6,97.9,94.6,78,58.4,96.5,3.359069638,1.889233282,1.469836356,1.480558336,0.408674946,750
Barren13,Samp750,s3.dbf,96.43089508,0.8751,48,99.6,82.8,56.9,58.8,97.6,33,97.6,95.4,75.6,59.7,97.2,3.56910492,1.664036841,1.905068079,1.351784786,0.312252055,750
Barren14,Samp750,s4.dbf,96.37052809,0.8749,44.1,99.1,85.3,58.7,55.4,98,32.7,97.9,92.7,76.9,60.4,94.7,3.62947191,2.340785795,1.288686114,2.05148225,0.289303546,750
Barren15,Samp750,s5.dbf,96.64912541,0.885,45.4,99.2,86.6,58.8,61.5,97.5,34.1,98.2,93.1,76.9,60.9,95.6,3.350874594,2.260978216,1.089896378,1.988787447,0.272190768,750
Barren16,Samp750,s6.dbf,96.38093957,0.8753,44.4,99.1,85.3,55.3,60.5,97.9,35.5,97.9,93.4,77,56.6,94.2,3.619060425,2.287753464,1.331306961,1.97166747,0.316085995,750
Barren17,Samp750,s7.dbf,96.2900138,0.872,42.6,99.1,85.2,56.3,57,97.7,33.5,97.8,91.7,78.3,61.3,97.3,3.709986203,2.504944307,1.205041896,2.221488194,0.283456114,750
Barren18,Samp750,s8.dbf,96.6212434,0.883,43.3,99.4,86.4,58,49.6,97.8,36.6,97.9,92.7,76.5,65.6,96.9,3.3787566,2.083004698,1.295751902,1.724694301,0.358310397,750
Barren19,Samp750,s9.dbf,96.54414703,0.8815,51.4,99.2,85.7,51.9,67.6,98.1,37,98.1,93.8,81.5,54.2,93.1,3.455852973,2.055979253,1.39987372,1.80136678,0.254612473,750
Barren20,Samp500,s1.dbf,96.60052258,0.8822,39.5,99.4,85.5,59.3,58.6,97,32.9,97.9,93.8,75.5,62.5,96.4,3.39947742,2.040031282,1.359446138,1.678008894,0.362022388,500
Barren21,Samp500,s10.dbf,96.24387738,0.8688,45.1,99.4,82,57.2,66.4,97.2,38.5,97.5,95,76.4,53.7,95.2,3.756122619,1.794407866,1.961714753,1.443173381,0.351234485,500
