GEOID10,ID,NAME_1,STATE_NAME,ST_ABBREV,AREA,TOTPOP10,POPDENS10,MALES10,FEMALES10,HHPOP10,FAMPOP10,POPGRW0010,URBARPOP10,URBCLPOP10,RURALPOP10,POPFAMHH10,POPHWFAM10,POPOFAMM10,POPOFAMF10,MALHHRFH10,FEMHHRFH10,SPOUSEFH10,BIOLCHFH10,ADPTCHFH10,STEPCHFH10,GRNDCHFH10,BROSISFH10,PARENTFH10,PINLAWFH10,SDINLAWF10,OTHRELFH10,NONRELFH10,POPNFHH10,POP1PNF10,POP2PNFM10,POP2PNFF10,MHHR1NF10,MHHR2NF10,FHHR1NF10,FHHR2NF10,NONRELNF10,GQPOP10,GQINST10,GQPRISON10,GQJUV10,GQNURS10,GQOTINST10,GQNINST10,GQCOLL10,GQMIL10,GQONINST10,TOTHH10,HHU18C10,MLTGENHH10,UNMARRMF10,UNMARRSS10,FAMSENR10,HHGRW0010,FAMGRW0010,FAMHH10,HWFAMHH10,OTHFAMHH10,OFAMMHHR10,OFAMFHHR10,NONFAMHH10,NONFAM1P10,NF2PMHHR10,NF2PFHHR10,AVGHHSZ10,AVGHSZOO10,AVGHSZRO10,AVGFMSZ10,AVGNFMSZ10,FAM2PERS10,FAM3PERS10,FAM4PERS10,FAM5PERS10,FAM6PERS10,FAM7PERS10,NF1PERS10,NF2PERS10,NF3PERS10,NF4PERS10,NF5PERS10,NF6PERS10,NF7PERS10,FMHHR15C10,FMHHR25C10,FMHHR35C10,FMHHR45C10,FMHHR55C10,FMHHR65C10,FMHHR75C10,FMHHR85C10,NFHHR15C10,NFHHR25C10,NFHHR35C10,NFHHR45C10,NFHHR55C10,NFHHR65C10,NFHHR75C10,NFHHR85C10,HU18HWF10,HU18OFM10,HU18OFF10,HU18NFM10,HU18NFF10,HWFU18O10,HWFU6O10,HWF2AGEO10,HWF617O10,OFU18O10,OFU6O10,OF2AGEO10,OF617O10,OFMU18O10,OFMU6O10,OFM2AGEO10,OFM617O10,OFFU18O10,OFFU6O10,OFF2AGEO10,OFF617O10,HWFU18R10,HWFU6R10,HWF2AGER10,HWF617R10,OFU18R10,OFU6R10,OF2AGER10,OF617R10,OFMU18R10,OFMU6R10,OFM2AGER10,OFM617R10,OFFU18R10,OFFU6R10,OFF2AGER10,OFF617R10,FMAGEBAS10,NFAGEBAS10,FMSZBASE10,NFSZBASE10,TOTPOP00,HHPOP00,FAMPOP00,TOTHH00,FAMHH00,TOTHU00,OWNER00,RENTER00,per_for,elev,temp,precip,precip2
8053,8053,Hinsdale County,Colorado,CO,1123.212157,843,0.8,443,400,787,630,0.65,0,0,843,640,574,38,28,201,38,215,145,11,5,5,4,4,0,0,2,10,147,101,20,26,64,10,37,12,24,56,0,0,0,0,0,56,0,0,56,362,84,7,15,2,71,0.08,-0.33,239,215,24,13,11,123,101,10,12,2.17,2.13,2.27,2.64,1.2,148,39,40,7,4,1,101,21,0,1,0,0,0,4,26,33,46,63,46,15,6,11,8,15,31,32,13,9,4,64,10,10,0,0,62,21,14,27,18,4,1,13,8,3,1,4,10,1,0,9,64,21,15,28,20,6,1,13,10,5,1,4,10,1,0,9,239,123,239,123,790,790,641,359,247,1304,233,126,34.96270371,3334.739362,1.410638296,800.2460657,8.002460657
8061,8061,Kiowa County,Colorado,CO,1785.889183,1398,0.8,687,711,1384,1144,-1.48,0,0,1398,1158,1009,38,111,340,66,355,295,8,34,33,6,2,0,3,2,14,226,200,10,16,94,5,106,8,13,14,14,0,0,14,0,0,0,0,0,619,158,10,14,2,109,-0.71,-1.07,406,355,51,15,36,213,200,5,8,2.24,2.24,2.23,2.82,1.06,236,72,53,26,9,10,200,13,0,0,0,0,0,4,58,54,98,87,63,33,9,11,18,13,36,42,32,25,36,121,11,26,0,0,113,14,31,68,25,5,4,16,9,2,1,6,16,3,3,10,121,18,31,72,36,8,5,23,10,2,1,7,26,6,4,16,406,213,406,213,1622,1598,1343,665,452,817,474,191,0.002119576,1269.637288,11.15949154,384.2017973,3.842017973
8063,8063,Kit Carson County,Colorado,CO,2161.740894,8270,3.8,4638,3632,7195,5825,0.32,0,4243,4027,5969,4783,445,741,1565,390,1578,1818,77,156,100,41,27,9,14,50,144,1226,961,198,67,485,89,476,33,143,1075,1054,1017,0,37,0,21,0,0,21,3038,908,50,145,15,473,0.16,-0.62,1955,1578,377,142,235,1083,961,89,33,2.37,2.39,2.32,2.98,1.13,973,352,341,186,71,32,961,106,13,1,2,0,0,66,297,375,437,354,253,135,38,87,108,63,167,194,181,176,107,639,95,171,3,0,609,131,168,310,240,64,46,130,84,29,12,43,156,35,34,87,637,141,178,318,265,71,52,142,95,31,15,49,170,40,37,93,1955,1083,1955,1083,8011,7480,6383,2990,2081,3430,2151,839,0.021467393,1348.005495,10.1796978,435.4140373,4.354140373
8071,8071,Las Animas County,Colorado,CO,4775.291392,15507,3.2,7948,7559,14649,11611,0.2,0,9181,6326,11918,8692,1045,2181,2824,1189,2928,3429,119,242,427,109,138,35,41,130,307,2731,2069,413,249,1039,180,1030,122,360,858,601,510,0,91,0,257,173,0,84,6384,1749,234,336,50,1102,0.34,-0.2,4013,2928,1085,346,739,2371,2069,180,122,2.29,2.31,2.26,2.89,1.15,2011,881,619,317,126,59,2069,264,21,14,3,0,0,184,499,626,886,882,569,267,100,84,172,176,406,599,429,331,174,1045,214,463,24,3,929,169,209,551,560,155,103,302,178,46,28,104,382,109,75,198,1044,215,235,594,674,194,123,357,212,58,32,122,462,136,91,235,4013,2371,4013,2371,15207,14816,12159,6173,4095,7629,4360,1813,11.68719286,1834.354115,10.4399252,424.7577307,4.247577307
8073,8073,Lincoln County,Colorado,CO,2586.326731,5467,2.1,3163,2304,4437,3511,-1.07,0,0,5467,3597,2855,249,493,923,287,967,1065,45,84,74,16,16,6,11,17,86,840,654,126,60,296,56,358,28,102,1030,1030,968,0,33,29,0,0,0,0,1948,595,40,73,20,320,-0.55,-1.37,1210,967,243,78,165,738,654,56,28,2.28,2.32,2.19,2.9,1.14,604,265,196,96,27,22,654,73,6,3,2,0,0,57,165,201,291,200,167,105,24,37,71,59,127,121,112,107,104,394,65,125,7,4,374,85,69,220,167,43,24,100,58,21,11,26,109,22,13,74,386,89,79,218,189,50,31,108,64,24,12,28,125,26,19,80,1210,738,1210,738,6087,5031,4226,2058,1389,2406,1421,637,0.043238069,1564.5,9.573577977,376.2285551,3.762285551
8075,8075,Logan County,Colorado,CO,1845.045782,22709,12.4,12924,9785,18805,14829,1.03,0,16088,6621,15198,11885,1015,2298,3839,1256,3991,4522,152,347,371,105,83,15,47,101,369,3607,2523,611,473,1234,262,1289,167,655,3904,3459,3286,59,114,0,445,391,0,54,8047,2352,194,411,34,1171,0.64,0.06,5095,3991,1104,338,766,2952,2523,262,167,2.34,2.39,2.22,2.91,1.22,2571,1008,876,427,141,72,2523,344,45,19,5,0,16,215,780,905,1164,971,584,371,105,270,313,254,506,549,410,393,257,1573,217,536,22,4,1479,303,320,856,666,168,98,400,201,51,19,131,465,117,79,269,1566,330,358,878,752,192,122,438,216,55,23,138,536,137,99,300,5095,2952,5095,2952,20504,18516,15312,7551,5064,8424,5277,2274,0.124508994,1278.251592,9.7492038,425.2786955,4.252786955
8079,8079,Mineral County,Colorado,CO,877.6913731,712,0.8,362,350,712,544,-1.53,0,0,712,549,474,29,46,171,47,190,110,0,9,8,4,2,1,1,1,5,163,115,27,21,52,12,63,10,26,0,0,0,0,0,0,0,0,0,0,355,58,2,14,5,70,-0.6,-1.4,218,190,28,11,17,137,115,12,10,2.01,1.98,2.15,2.5,1.19,149,35,27,5,1,1,115,19,2,1,0,0,0,2,18,24,48,63,41,19,3,4,15,9,20,37,28,16,8,41,6,9,1,1,35,7,7,21,15,0,4,11,6,0,2,4,9,0,2,7,41,8,8,25,15,0,4,11,6,0,2,4,9,0,2,7,218,137,218,137,831,830,678,377,251,1119,279,98,38.84674063,3212.506757,1.830405403,856.2934461,8.562934461
8085,8085,Montrose County,Colorado,CO,2242.693513,41276,18.4,20310,20966,40734,33997,2.13,0,22706,18570,34792,27899,2273,4620,8692,2769,9244,10391,312,659,770,279,274,81,158,368,795,5942,4256,1019,667,1864,449,2392,318,919,542,337,115,18,204,0,205,0,0,205,16484,5149,486,725,102,2978,2.37,2.1,11461,9244,2217,715,1502,5023,4256,449,318,2.47,2.46,2.5,2.97,1.18,5809,2107,1878,1036,403,228,4256,665,72,19,7,2,2,359,1582,2132,2452,2312,1617,793,214,183,391,400,871,1062,913,745,458,3612,468,1024,36,9,3361,725,777,1859,1294,253,252,789,408,89,72,247,886,164,180,542,3600,804,849,1947,1482,312,313,857,462,105,86,271,1020,207,227,586,11461,5023,11461,5023,33432,32882,27900,13043,9311,14202,9773,3270,33.57102534,2122.834667,8.327253345,447.2021602,4.472021602
8087,8087,Morgan County,Colorado,CO,1293.760087,28159,22,13898,14261,27595,23235,0.36,0,18994,9165,23863,18312,1937,3614,5330,1872,5520,7989,202,487,674,296,241,67,127,430,628,3732,2630,726,376,1211,298,1419,164,640,564,549,312,0,237,0,15,0,0,15,10294,3815,438,521,43,1542,0.76,0.33,7202,5520,1682,591,1091,3092,2630,298,164,2.68,2.72,2.61,3.23,1.21,3001,1474,1288,808,372,259,2630,363,53,26,13,4,3,351,1200,1480,1643,1198,779,442,109,191,322,298,511,540,476,451,303,2605,387,791,23,9,2407,492,614,1301,1022,231,196,595,334,86,55,193,688,145,141,402,2601,560,703,1338,1170,281,252,637,382,101,66,215,788,180,186,422,7202,3092,7202,3092,27171,26687,22954,9539,6969,10410,6525,3014,0.112151714,1372.481651,9.731422052,369.7949082,3.697949082
8089,8089,Otero County,Colorado,CO,1269.475894,18831,14.9,9221,9610,18398,14908,-0.75,0,12352,6479,15313,10734,1268,3311,3474,1561,3555,4791,155,320,554,125,114,16,55,188,405,3085,2363,411,311,1076,181,1287,150,391,433,201,0,38,163,0,232,207,0,25,7729,2358,251,416,34,1358,-0.24,-0.83,5035,3555,1480,410,1070,2694,2363,181,150,2.38,2.42,2.31,2.96,1.15,2414,1101,830,436,175,79,2363,294,23,8,4,1,1,210,750,864,1050,969,687,409,96,146,188,212,460,572,457,428,231,1323,257,756,19,3,1179,219,275,685,876,187,176,513,226,47,47,132,650,140,129,381,1316,262,318,736,1007,219,217,571,255,53,56,146,752,166,161,425,5035,2694,5035,2694,20311,19743,16650,7920,5473,8813,5471,2449,0.024750112,1355.050926,11.78097222,338.0150011,3.380150011
