STATE,COUNTY,FIPS,winner12,winner08,per_dem,per_rep,per_other,pop_den,per_gt55,per_notw,per_vac,med_income,per_pov,STATE_NAME,SUB_REGION
AL,Autauga,1001,republican,republican,25.8,73.6,0.6,90.49335672,0.227336864,0.214692786,0.086469392,51622,10.7,Alabama,E S Cen
AL,Barbour,1005,democrat,republican,49,50.4,0.6,30.54169341,0.274064901,0.519976691,0.169836842,30896,24.5,Alabama,E S Cen
AL,Bibb,1007,republican,republican,26.6,72.4,1,36.62302174,0.246170631,0.2415012,0.114463868,41076,18.5,Alabama,E S Cen
AL,Blount,1009,republican,republican,14.5,84,1.5,87.76306055,0.27415303,0.074212344,0.096663457,46086,13.1,Alabama,E S Cen
AL,Bullock,1011,democrat,democrat,74.1,25.7,0.2,17.41954953,0.263514752,0.770295034,0.166481193,26980,33.6,Alabama,E S Cen
AL,Butler,1013,republican,republican,43.1,56.5,0.4,26.97112522,0.301427412,0.455817062,0.147832196,31449,22.3,Alabama,E S Cen
AL,Chambers,1017,republican,republican,45.5,53.9,0.6,56.94460141,0.306152272,0.412187637,0.180604564,35614,18.7,Alabama,E S Cen
AL,Cherokee,1019,republican,republican,23.7,74.9,1.5,43.44349669,0.329908808,0.073415676,0.346775681,38028,17.7,Alabama,E S Cen
AL,Chilton,1021,republican,republican,20.7,78.5,0.9,62.44240443,0.256971336,0.158788351,0.141093474,40292,17.1,Alabama,E S Cen
AL,Choctaw,1023,republican,republican,46.1,53.5,0.4,15.10383772,0.323399957,0.442167545,0.193011418,30728,22.9,Alabama,E S Cen
AL,Clarke,1025,republican,republican,44,55.6,0.4,20.63650413,0.286842411,0.455347811,0.182069948,34101,20.6,Alabama,E S Cen
AL,Clay,1027,republican,republican,25.8,73.1,1.1,22.99656925,0.306416882,0.183175423,0.16322314,33032,16.9,Alabama,E S Cen
AL,Cleburne,1029,republican,republican,18,80.4,1.7,26.71825472,0.294683409,0.05964467,0.123102114,37742,14.8,Alabama,E S Cen
AL,Coffee,1031,republican,republican,25.2,74.1,0.7,73.50943003,0.265155762,0.252622728,0.111106135,43145,15.2,Alabama,E S Cen
AL,Colbert,1033,republican,republican,39.1,59.3,1.6,87.0804736,0.306698758,0.195469244,0.115886327,39947,12.7,Alabama,E S Cen
AL,Conecuh,1035,democrat,republican,49.4,50,0.6,15.47966979,0.327109162,0.486846084,0.206964613,27068,24.9,Alabama,E S Cen
AL,Coosa,1037,republican,republican,40.9,58.4,0.8,17.26506823,0.326458099,0.337204264,0.259956777,36050,15.7,Alabama,E S Cen
AL,Covington,1039,republican,republican,20.5,78.8,0.7,36.13964039,0.318363564,0.152072024,0.175155345,33773,18.9,Alabama,E S Cen
AL,Crenshaw,1041,republican,republican,30.8,68.7,0.5,22.8447364,0.293614267,0.273910542,0.160801782,34402,18.9,Alabama,E S Cen
AL,Cullman,1043,republican,republican,16.6,81.9,1.5,106.9093505,0.2876651,0.0531428,0.14006585,39276,14.8,Alabama,E S Cen
AL,Dale,1045,republican,republican,27.3,71.9,0.9,89.39685931,0.252174086,0.258999821,0.115182784,42867,15,Alabama,E S Cen
AL,Dallas,1047,democrat,democrat,67.1,32.6,0.3,43.98961551,0.266613419,0.708603377,0.155581948,27992,29.9,Alabama,E S Cen
AL,DeKalb,1049,republican,republican,23.6,74.8,1.7,91.39099253,0.260192099,0.155001477,0.137162879,35377,18.7,Alabama,E S Cen
AL,Elmore,1051,republican,republican,24.2,75.1,0.7,121.3117041,0.23820032,0.237670706,0.13338641,53296,11.4,Alabama,E S Cen
AL,Escambia,1053,republican,republican,35.4,63.9,0.8,40.51521519,0.27505937,0.379315744,0.141271382,32009,24.1,Alabama,E S Cen
AL,Etowah,1055,republican,republican,30.2,68.4,1.4,189.726559,0.293545916,0.197328354,0.114173726,37264,16.7,Alabama,E S Cen
AL,Fayette,1057,republican,republican,25.1,73.9,1,27.38480858,0.319645032,0.135200974,0.15846865,34092,19.8,Alabama,E S Cen
AL,Franklin,1059,republican,republican,29.7,68.8,1.5,49.04797905,0.269682059,0.169820843,0.123805449,35248,19.5,Alabama,E S Cen
AL,Geneva,1061,republican,republican,18.3,80.8,0.9,46.30379078,0.312765957,0.136730123,0.139276425,32027,17.8,Alabama,E S Cen
AL,Greene,1063,democrat,democrat,83.1,16.5,0.4,13.72448724,0.311111111,0.825870647,0.248252447,26001,30.3,Alabama,E S Cen
AL,Hale,1065,democrat,democrat,60.7,39,0.4,24.04377991,0.284835025,0.602411168,0.180535598,31091,26,Alabama,E S Cen
AL,Henry,1067,republican,republican,34.9,64.6,0.5,30.80243161,0.328979309,0.314241128,0.213361827,36453,18.6,Alabama,E S Cen
AL,Houston,1069,republican,republican,29.3,70.1,0.6,175.649146,0.268900115,0.300294445,0.095986231,42523,15.1,Alabama,E S Cen
AL,Jackson,1071,republican,republican,30.5,67.5,2,47.13407526,0.303304714,0.091664005,0.132050351,36597,16.9,Alabama,E S Cen
AL,Jefferson,1073,democrat,democrat,52.2,47.1,0.8,585.750249,0.25377772,0.469728126,0.123053581,46269,13.8,Alabama,E S Cen
AL,Lamar,1075,republican,republican,22.8,76.6,0.6,24.09821056,0.329030486,0.133067839,0.170111504,32424,18.2,Alabama,E S Cen
AL,Lauderdale,1077,republican,republican,35,63.2,1.9,128.9401495,0.298396056,0.135876776,0.11671348,38592,17,Alabama,E S Cen
AL,Lawrence,1079,republican,republican,35.2,63.2,1.6,47.77498855,0.276566004,0.224001864,0.103421104,40655,15,Alabama,E S Cen
AL,Lee,1081,republican,republican,39.6,59.3,1.1,227.9693637,0.185979023,0.286929489,0.107531535,41770,15.5,Alabama,E S Cen
